code,name,unit,price,quantity,category
"FF-1088","ESPANCIONADOR  DE BRONCE 8 mm",UNO,"350",0,"FERRETERIA",
"FF-1109","ARANDELA DE PRESION PEQUEÑA",UNO,"15",565,"FERRETERIA",
"FF-1110","ARANDELA DE PRESION GRANDE",UNO,"20",20,"FERRETERIA",
"FF-1114","CATAO 60 AMP",UNO,"3500",0,"FERRETERIA",
"FF-1117","CAPACITOR 400 MICRO",UNO,"4200",4,"FERRETERIA",
"FF-1118","DUCHA SANIT",UNO,"1500",0,"FERRETERIA",
"FF-1119","BRACHA 4pg",UNO,"950",0,"FERRETERIA",
"FF-1123","BREAKER  NEGRO DOBLE 40 AP",UNO,"2500",0,"FERRETERIA",
"FF-1124","BREAKER  63 AP SENCILLO",UNO,"1500",6,"FERRETERIA",
"FF-1125","BREAKER 40A SIMPLE",UNO,"1500",2,"FERRETERIA",
"FF-1126","BOMBILLA RECARGABLE",UNO,"2500",0,"FERRETERIA",
"FF-1127","CEPLLO ALAMBRE",UNO,"900",0,"FERRETERIA",
"FF-1128","BARRENAS TUGSTENO",UNO,"400",0,"FERRETERIA",
"FF-1129","CANDADO GRANDE",UNO,"1600",5,"FERRETERIA",
"FF-1130","CEMENTO BLANCO",UNO,"2500",0,"FERRETERIA",
"FF-1131","CAPACITOR 35 MICRO",UNO,"3800",3,"FERRETERIA",
"FF-1132","CAPACITOR DE AIRE 30 MF",UNO,"4500",1,"FERRETERIA",
"FF-1133","CORTINERO DE BANO",UNO,"3500",0,"FERRETERIA",
"FF-1134","CUCHILLO",UNO,"1500",0,"FERRETERIA",
"FF-1135","CABLE 10",m,"200",0,"FERRETERIA",
"FF-1136","CASCO PARA MOTO",UNO,"6000",0,"FERRETERIA",
"FF-1137","DISCO DESBASTE",UNO,"650",0,"FERRETERIA",
"FF-1138","DELCO PEGAMENTO PLASTICO EPOXI",UNO,"1300",28,"FERRETERIA",
"FF-1140","DISCO CORTE",UNO,"200",0,"FERRETERIA",
"FF-1141","DISCO MILOJA",UNO,"650",6,"FERRETERIA",
